Kelompok_ID,Total_Mahasiswa,HTQ_Count,HTQ_Percentage,LK_Count,PR_Count,LK_Ratio,PR_Ratio,Fakultas_Count,Jurusan_Count,Duplicate_Majors,Max_Major_Count,HTQ_Satisfied,Size_Satisfied,Gender_Satisfied,Duplication_Satisfied,Overall_Satisfied,Dominant_Fakultas,Dominant_Jurusan
17,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,4,7,4,4,True,True,True,True,True,HUMANIORA,BAHASA DAN SASTRA INGGRIS
18,13,1,7.6923076923076925,7,6,0.5384615384615384,0.46153846153846156,5,10,2,3,True,True,False,True,False,SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA
19,13,1,7.6923076923076925,5,8,0.38461538461538464,0.6153846153846154,5,8,4,3,True,True,True,True,True,HUMANIORA,BAHASA DAN SASTRA INGGRIS
20,7,1,14.285714285714285,4,3,0.5714285714285714,0.42857142857142855,4,5,2,2,True,False,False,True,False,SAINS DAN TEKNOLOGI,PSIKOLOGI
21,9,1,11.11111111111111,5,4,0.5555555555555556,0.4444444444444444,5,9,0,1,True,False,False,True,False,SAINS DAN TEKNOLOGI,PSIKOLOGI
22,8,1,12.5,2,6,0.25,0.75,4,6,2,2,True,False,True,True,False,HUMANIORA,BAHASA DAN SASTRA INGGRIS
23,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,5,8,3,3,True,True,True,True,True,SYARI'AH,ILMU AL-QUR`AN DAN TAFSIR
24,6,1,16.666666666666664,2,4,0.3333333333333333,0.6666666666666666,4,6,0,1,True,False,True,True,False,SYARI'AH,HUKUM TATA NEGARA
25,15,1,6.666666666666667,5,10,0.3333333333333333,0.6666666666666666,5,11,3,3,True,False,True,True,False,SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA
26,13,1,7.6923076923076925,7,6,0.5384615384615384,0.46153846153846156,5,7,3,4,True,True,False,True,False,HUMANIORA,MANAJEMEN
27,12,1,8.333333333333332,3,9,0.25,0.75,6,11,1,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,ILMU AL-QUR`AN DAN TAFSIR
28,12,1,8.333333333333332,6,6,0.5,0.5,5,9,3,2,True,True,False,True,False,SYARI'AH,AL-AHWAL AL-SYAKHSHIYYAH
29,16,1,6.25,12,4,0.75,0.25,4,9,5,3,True,False,False,True,False,SYARI'AH,MANAJEMEN
30,12,1,8.333333333333332,6,6,0.5,0.5,5,9,2,3,True,True,False,True,False,EKONOMI,ILMU AL-QUR`AN DAN TAFSIR
31,12,1,8.333333333333332,4,8,0.3333333333333333,0.6666666666666666,5,9,3,2,True,True,True,True,True,HUMANIORA,BAHASA DAN SASTRA ARAB
32,16,2,12.5,6,10,0.375,0.625,5,10,5,3,True,False,True,True,False,SAINS DAN TEKNOLOGI,AL-AHWAL AL-SYAKHSHIYYAH
33,13,1,7.6923076923076925,5,8,0.38461538461538464,0.6153846153846154,5,9,3,3,True,True,True,True,True,SAINS DAN TEKNOLOGI,KIMIA
34,19,1,5.263157894736842,9,10,0.47368421052631576,0.5263157894736842,6,12,6,3,True,False,False,True,False,SYARI'AH,AL-AHWAL AL-SYAKHSHIYYAH
35,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,5,10,2,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,BIOLOGI
36,17,2,11.76470588235294,7,10,0.4117647058823529,0.5882352941176471,5,8,5,5,True,False,True,True,False,SAINS DAN TEKNOLOGI,PSIKOLOGI
37,19,2,10.526315789473683,6,13,0.3157894736842105,0.6842105263157895,5,12,6,3,True,False,True,True,False,EKONOMI,PSIKOLOGI
38,9,1,11.11111111111111,3,6,0.3333333333333333,0.6666666666666666,5,7,2,2,True,False,True,True,False,SAINS DAN TEKNOLOGI,BAHASA DAN SASTRA INGGRIS
39,13,1,7.6923076923076925,7,6,0.5384615384615384,0.46153846153846156,6,11,2,2,True,True,False,True,False,SAINS DAN TEKNOLOGI,ILMU AL-QUR`AN DAN TAFSIR
40,12,2,16.666666666666664,4,8,0.3333333333333333,0.6666666666666666,5,7,2,5,True,True,True,True,True,EKONOMI,MANAJEMEN
41,13,1,7.6923076923076925,5,8,0.38461538461538464,0.6153846153846154,6,9,4,2,True,True,True,True,True,SYARI'AH,PSIKOLOGI
42,6,1,16.666666666666664,3,3,0.5,0.5,4,5,1,2,True,False,True,True,False,SYARI'AH,BAHASA DAN SASTRA ARAB
43,13,1,7.6923076923076925,5,8,0.38461538461538464,0.6153846153846154,4,8,2,4,True,True,True,True,True,SYARI'AH,HUKUM BISNIS SYARI'AH
44,13,1,7.6923076923076925,7,6,0.5384615384615384,0.46153846153846156,5,7,3,4,True,True,False,True,False,EKONOMI,PSIKOLOGI
45,9,2,22.22222222222222,3,6,0.3333333333333333,0.6666666666666666,3,7,2,2,True,False,True,True,False,SYARI'AH,ILMU AL-QUR`AN DAN TAFSIR
46,13,1,7.6923076923076925,5,8,0.38461538461538464,0.6153846153846154,5,8,4,3,True,True,True,True,True,SYARI'AH,HUKUM BISNIS SYARI'AH
47,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,4,6,4,3,True,True,True,True,True,SYARI'AH,ILMU AL-QUR`AN DAN TAFSIR
48,10,1,10.0,6,4,0.6,0.4,5,7,3,2,True,False,False,True,False,SAINS DAN TEKNOLOGI,PSIKOLOGI
49,8,1,12.5,4,4,0.5,0.5,3,4,2,3,True,False,True,True,False,EKONOMI,MANAJEMEN
50,10,1,10.0,3,7,0.3,0.7,4,7,3,2,True,False,True,True,False,SYARI'AH,TEKNIK ARSITEKTUR
51,13,1,7.6923076923076925,5,8,0.38461538461538464,0.6153846153846154,4,10,2,3,True,True,True,True,True,SYARI'AH,AL-AHWAL AL-SYAKHSHIYYAH
52,13,1,7.6923076923076925,5,8,0.38461538461538464,0.6153846153846154,5,9,4,2,True,True,True,True,True,SYARI'AH,PSIKOLOGI
53,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,4,7,4,3,True,True,True,True,True,SYARI'AH,HUKUM BISNIS SYARI'AH
54,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,6,10,3,2,True,True,True,True,True,HUMANIORA,MANAJEMEN
55,13,1,7.6923076923076925,6,7,0.46153846153846156,0.5384615384615384,4,9,3,3,True,True,True,True,True,EKONOMI,HUKUM BISNIS SYARI'AH
56,8,1,12.5,3,5,0.375,0.625,4,6,2,2,True,False,True,True,False,SAINS DAN TEKNOLOGI,AL-AHWAL AL-SYAKHSHIYYAH
57,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,4,8,3,3,True,True,True,True,True,SAINS DAN TEKNOLOGI,MATEMATIKA
58,15,1,6.666666666666667,3,12,0.2,0.8,6,9,5,3,True,False,False,True,False,SYARI'AH,PSIKOLOGI
59,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,4,9,3,2,True,True,True,True,True,EKONOMI,HUKUM TATA NEGARA
60,13,1,7.6923076923076925,7,6,0.5384615384615384,0.46153846153846156,4,7,4,4,True,True,False,True,False,SYARI'AH,AKUNTANSI
61,12,1,8.333333333333332,4,8,0.3333333333333333,0.6666666666666666,6,10,2,2,True,True,True,True,True,EKONOMI,PSIKOLOGI
62,9,1,11.11111111111111,4,5,0.4444444444444444,0.5555555555555556,4,7,2,2,True,False,True,True,False,SAINS DAN TEKNOLOGI,BIOLOGI
63,12,1,8.333333333333332,4,8,0.3333333333333333,0.6666666666666666,6,10,2,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,PERPUSTAKAAN DAN ILMU INFORMASI
64,10,1,10.0,3,7,0.3,0.7,3,7,2,3,True,False,True,True,False,HUMANIORA,BAHASA DAN SASTRA INGGRIS
65,12,1,8.333333333333332,4,8,0.3333333333333333,0.6666666666666666,4,8,3,3,True,True,True,True,True,SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA
66,13,1,7.6923076923076925,2,11,0.15384615384615385,0.8461538461538461,5,7,6,2,True,True,False,True,False,EKONOMI,AKUNTANSI
67,18,1,5.555555555555555,9,9,0.5,0.5,6,13,3,4,True,False,False,True,False,EKONOMI,MANAJEMEN
68,13,3,23.076923076923077,4,9,0.3076923076923077,0.6923076923076923,5,9,2,4,True,True,True,True,True,HUMANIORA,BAHASA DAN SASTRA ARAB
69,12,2,16.666666666666664,5,7,0.4166666666666667,0.5833333333333334,6,9,3,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,ILMU AL-QUR`AN DAN TAFSIR
70,13,1,7.6923076923076925,6,7,0.46153846153846156,0.5384615384615384,5,11,2,2,True,True,True,True,True,SYARI'AH,AL-AHWAL AL-SYAKHSHIYYAH
71,6,1,16.666666666666664,3,3,0.5,0.5,3,6,0,1,True,False,True,True,False,SAINS DAN TEKNOLOGI,KIMIA
72,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,5,10,2,2,True,True,True,True,True,SYARI'AH,BAHASA DAN SASTRA ARAB
73,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,5,10,3,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,HUKUM BISNIS SYARI'AH
74,16,1,6.25,7,9,0.4375,0.5625,4,8,6,4,True,False,True,True,False,EKONOMI,PERBANKAN SYARI`AH
75,13,1,7.6923076923076925,6,7,0.46153846153846156,0.5384615384615384,5,7,4,3,True,True,True,True,True,SAINS DAN TEKNOLOGI,MANAJEMEN
76,13,1,7.6923076923076925,7,6,0.5384615384615384,0.46153846153846156,5,8,4,3,True,True,False,True,False,SYARI'AH,KIMIA
77,17,1,5.88235294117647,7,10,0.4117647058823529,0.5882352941176471,5,12,5,2,True,False,True,True,False,SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA
78,8,1,12.5,4,4,0.5,0.5,3,7,1,2,True,False,True,True,False,SAINS DAN TEKNOLOGI,TEKNIK ARSITEKTUR
79,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,5,11,1,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,BIOLOGI
80,8,1,12.5,5,3,0.625,0.375,5,8,0,1,True,False,False,True,False,SYARI'AH,MANAJEMEN
81,9,2,22.22222222222222,2,7,0.2222222222222222,0.7777777777777778,3,5,3,3,True,False,True,True,False,SYARI'AH,AL-AHWAL AL-SYAKHSHIYYAH
82,12,1,8.333333333333332,3,9,0.25,0.75,5,9,2,3,True,True,True,True,True,SAINS DAN TEKNOLOGI,MATEMATIKA
83,16,1,6.25,5,11,0.3125,0.6875,4,10,4,3,True,False,True,True,False,EKONOMI,AKUNTANSI
84,19,3,15.789473684210526,8,11,0.42105263157894735,0.5789473684210527,5,12,4,4,True,False,True,True,False,SAINS DAN TEKNOLOGI,MANAJEMEN
85,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,5,10,2,2,True,True,True,True,True,SYARI'AH,MATEMATIKA
86,12,1,8.333333333333332,6,6,0.5,0.5,5,7,4,3,True,True,False,True,False,HUMANIORA,BAHASA DAN SASTRA ARAB
87,12,1,8.333333333333332,6,6,0.5,0.5,5,9,3,2,True,True,False,True,False,SAINS DAN TEKNOLOGI,HUKUM BISNIS SYARI'AH
88,16,2,12.5,6,10,0.375,0.625,5,10,5,3,True,False,True,True,False,SYARI'AH,PSIKOLOGI
89,13,1,7.6923076923076925,6,7,0.46153846153846156,0.5384615384615384,4,9,4,2,True,True,True,True,True,HUMANIORA,BAHASA DAN SASTRA ARAB
90,15,2,13.333333333333334,8,7,0.5333333333333333,0.4666666666666667,5,10,3,3,True,False,False,True,False,SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA
91,12,2,16.666666666666664,6,6,0.5,0.5,4,7,3,4,True,True,False,True,False,SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA
92,12,1,8.333333333333332,3,9,0.25,0.75,4,7,3,4,True,True,True,True,True,HUMANIORA,BAHASA DAN SASTRA ARAB
93,21,1,4.761904761904762,9,12,0.42857142857142855,0.5714285714285714,6,10,7,4,True,False,True,True,False,HUMANIORA,PSIKOLOGI
94,10,2,20.0,4,6,0.4,0.6,4,8,1,3,True,False,True,True,False,EKONOMI,MANAJEMEN
95,12,1,8.333333333333332,6,6,0.5,0.5,5,8,4,2,True,True,False,True,False,SYARI'AH,AL-AHWAL AL-SYAKHSHIYYAH
96,12,1,8.333333333333332,3,9,0.25,0.75,4,9,3,2,True,True,True,True,True,EKONOMI,PSIKOLOGI
97,17,1,5.88235294117647,6,11,0.35294117647058826,0.6470588235294118,5,10,4,4,True,False,True,True,False,EKONOMI,MANAJEMEN
98,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,5,9,4,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,BAHASA DAN SASTRA INGGRIS
99,13,1,7.6923076923076925,6,7,0.46153846153846156,0.5384615384615384,5,9,4,2,True,True,True,True,True,EKONOMI,AKUNTANSI
100,15,1,6.666666666666667,7,8,0.4666666666666667,0.5333333333333333,6,9,5,3,True,False,True,True,False,SYARI'AH,PERBANKAN SYARI`AH
101,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,5,7,3,4,True,True,True,True,True,PSIKOLOGI,PSIKOLOGI
102,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,6,8,4,3,True,True,True,True,True,SYARI'AH,ILMU AL-QUR`AN DAN TAFSIR
103,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,5,12,1,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA
104,13,1,7.6923076923076925,7,6,0.5384615384615384,0.46153846153846156,5,8,4,3,True,True,False,True,False,SAINS DAN TEKNOLOGI,PSIKOLOGI
105,12,1,8.333333333333332,4,8,0.3333333333333333,0.6666666666666666,5,7,2,4,True,True,True,True,True,SYARI'AH,AL-AHWAL AL-SYAKHSHIYYAH
106,12,1,8.333333333333332,6,6,0.5,0.5,5,9,2,3,True,True,False,True,False,EKONOMI,AKUNTANSI
107,7,1,14.285714285714285,4,3,0.5714285714285714,0.42857142857142855,3,6,1,2,True,False,False,True,False,SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA
108,13,2,15.384615384615385,6,7,0.46153846153846156,0.5384615384615384,4,7,4,3,True,True,True,True,True,SAINS DAN TEKNOLOGI,BAHASA DAN SASTRA ARAB
109,12,1,8.333333333333332,4,8,0.3333333333333333,0.6666666666666666,5,8,2,4,True,True,True,True,True,SYARI'AH,MANAJEMEN
110,10,1,10.0,5,5,0.5,0.5,4,7,2,3,True,False,True,True,False,SYARI'AH,MANAJEMEN
111,13,1,7.6923076923076925,5,8,0.38461538461538464,0.6153846153846154,5,11,2,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,TEKNIK ARSITEKTUR
112,12,1,8.333333333333332,4,8,0.3333333333333333,0.6666666666666666,4,8,3,3,True,True,True,True,True,EKONOMI,MANAJEMEN
113,24,3,12.5,11,13,0.4583333333333333,0.5416666666666666,4,11,5,6,True,False,False,True,False,EKONOMI,BAHASA DAN SASTRA ARAB
114,7,1,14.285714285714285,3,4,0.42857142857142855,0.5714285714285714,4,7,0,1,True,False,True,True,False,SAINS DAN TEKNOLOGI,PSIKOLOGI
115,6,1,16.666666666666664,2,4,0.3333333333333333,0.6666666666666666,4,6,0,1,True,False,True,True,False,SAINS DAN TEKNOLOGI,MATEMATIKA
116,16,1,6.25,8,8,0.5,0.5,6,11,4,3,True,False,False,True,False,SAINS DAN TEKNOLOGI,BAHASA DAN SASTRA INGGRIS
117,8,1,12.5,2,6,0.25,0.75,4,7,1,2,True,False,True,True,False,EKONOMI,MANAJEMEN
118,15,1,6.666666666666667,5,10,0.3333333333333333,0.6666666666666666,5,8,4,4,True,False,True,True,False,EKONOMI,AKUNTANSI
119,13,1,7.6923076923076925,6,7,0.46153846153846156,0.5384615384615384,6,9,4,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA
120,12,1,8.333333333333332,3,9,0.25,0.75,5,8,3,3,True,True,True,True,True,SYARI'AH,HUKUM BISNIS SYARI'AH
121,13,2,15.384615384615385,5,8,0.38461538461538464,0.6153846153846154,4,10,2,3,True,True,True,True,True,EKONOMI,MANAJEMEN
122,20,1,5.0,7,13,0.35,0.65,5,10,5,5,True,False,True,True,False,EKONOMI,MANAJEMEN
123,7,1,14.285714285714285,1,6,0.14285714285714285,0.8571428571428571,2,5,2,2,True,False,True,True,False,SAINS DAN TEKNOLOGI,HUKUM BISNIS SYARI'AH
124,10,1,10.0,5,5,0.5,0.5,5,10,0,1,True,False,True,True,False,SAINS DAN TEKNOLOGI,TEKNIK ARSITEKTUR
125,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,4,9,4,2,True,True,True,True,True,EKONOMI,PERBANKAN SYARI`AH
126,13,1,7.6923076923076925,7,6,0.5384615384615384,0.46153846153846156,5,11,2,2,True,True,False,True,False,SAINS DAN TEKNOLOGI,MATEMATIKA
127,10,1,10.0,6,4,0.6,0.4,3,8,2,2,True,False,False,True,False,SAINS DAN TEKNOLOGI,MATEMATIKA
128,10,1,10.0,3,7,0.3,0.7,5,8,2,2,True,False,True,True,False,SAINS DAN TEKNOLOGI,MANAJEMEN
129,12,1,8.333333333333332,4,8,0.3333333333333333,0.6666666666666666,5,9,2,3,True,True,True,True,True,EKONOMI,MANAJEMEN
130,13,1,7.6923076923076925,6,7,0.46153846153846156,0.5384615384615384,5,10,2,3,True,True,True,True,True,SYARI'AH,HUKUM BISNIS SYARI'AH
131,20,2,10.0,7,13,0.35,0.65,5,11,6,3,True,False,True,True,False,SAINS DAN TEKNOLOGI,MANAJEMEN
132,12,2,16.666666666666664,5,7,0.4166666666666667,0.5833333333333334,5,10,2,2,True,True,True,True,True,EKONOMI,BAHASA DAN SASTRA INGGRIS
133,13,1,7.6923076923076925,7,6,0.5384615384615384,0.46153846153846156,4,9,3,3,True,True,False,True,False,EKONOMI,PERBANKAN SYARI`AH
134,13,1,7.6923076923076925,5,8,0.38461538461538464,0.6153846153846154,5,9,2,3,True,True,True,True,True,SYARI'AH,PSIKOLOGI
135,6,2,33.33333333333333,2,4,0.3333333333333333,0.6666666666666666,4,6,0,1,True,False,True,True,False,SAINS DAN TEKNOLOGI,KIMIA
136,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,4,9,3,2,True,True,True,True,True,SYARI'AH,PERPUSTAKAAN DAN ILMU INFORMASI
137,24,2,8.333333333333332,9,15,0.375,0.625,5,13,6,3,True,False,True,True,False,SAINS DAN TEKNOLOGI,BAHASA DAN SASTRA ARAB
138,12,1,8.333333333333332,6,6,0.5,0.5,4,7,4,3,True,True,False,True,False,SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA
139,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,4,7,3,5,True,True,True,True,True,EKONOMI,MANAJEMEN
140,12,1,8.333333333333332,6,6,0.5,0.5,5,8,3,3,True,True,False,True,False,SYARI'AH,MANAJEMEN
141,9,1,11.11111111111111,2,7,0.2222222222222222,0.7777777777777778,6,8,1,2,True,False,True,True,False,SYARI'AH,BAHASA DAN SASTRA INGGRIS
142,13,1,7.6923076923076925,6,7,0.46153846153846156,0.5384615384615384,5,10,1,4,True,True,True,True,True,EKONOMI,MANAJEMEN
143,13,1,7.6923076923076925,7,6,0.5384615384615384,0.46153846153846156,4,8,4,3,True,True,False,True,False,SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA
144,12,1,8.333333333333332,9,3,0.75,0.25,4,7,4,3,True,True,False,True,False,SAINS DAN TEKNOLOGI,PSIKOLOGI
145,12,1,8.333333333333332,3,9,0.25,0.75,3,7,4,3,True,True,True,True,True,SYARI'AH,MATEMATIKA
146,7,2,28.57142857142857,3,4,0.42857142857142855,0.5714285714285714,5,7,0,1,True,False,True,True,False,HUMANIORA,BAHASA DAN SASTRA INGGRIS
147,13,1,7.6923076923076925,5,8,0.38461538461538464,0.6153846153846154,4,10,3,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,BAHASA DAN SASTRA INGGRIS
148,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,5,7,5,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,AL-AHWAL AL-SYAKHSHIYYAH
149,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,4,9,3,3,True,True,True,True,True,SAINS DAN TEKNOLOGI,BAHASA DAN SASTRA ARAB
150,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,4,10,2,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,AL-AHWAL AL-SYAKHSHIYYAH
151,12,1,8.333333333333332,4,8,0.3333333333333333,0.6666666666666666,5,9,2,3,True,True,True,True,True,SAINS DAN TEKNOLOGI,PSIKOLOGI
152,12,1,8.333333333333332,3,9,0.25,0.75,4,9,2,3,True,True,True,True,True,SYARI'AH,BAHASA DAN SASTRA INGGRIS
153,16,1,6.25,5,11,0.3125,0.6875,5,10,5,3,True,False,True,True,False,SAINS DAN TEKNOLOGI,FISIKA
154,13,1,7.6923076923076925,6,7,0.46153846153846156,0.5384615384615384,5,11,1,3,True,True,True,True,True,EKONOMI,AKUNTANSI
155,12,1,8.333333333333332,8,4,0.6666666666666666,0.3333333333333333,5,7,4,3,True,True,False,True,False,SAINS DAN TEKNOLOGI,AKUNTANSI
156,9,1,11.11111111111111,2,7,0.2222222222222222,0.7777777777777778,5,9,0,1,True,False,True,True,False,SAINS DAN TEKNOLOGI,KIMIA
157,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,4,8,3,3,True,True,True,True,True,SYARI'AH,AL-AHWAL AL-SYAKHSHIYYAH
158,18,1,5.555555555555555,6,12,0.3333333333333333,0.6666666666666666,5,12,5,3,True,False,True,True,False,SYARI'AH,MANAJEMEN
159,6,1,16.666666666666664,3,3,0.5,0.5,4,5,1,2,True,False,True,True,False,HUMANIORA,BAHASA DAN SASTRA ARAB
160,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,4,6,4,4,True,True,True,True,True,PSIKOLOGI,PSIKOLOGI
161,12,1,8.333333333333332,6,6,0.5,0.5,6,9,2,3,True,True,False,True,False,EKONOMI,MANAJEMEN
162,9,1,11.11111111111111,2,7,0.2222222222222222,0.7777777777777778,4,7,1,3,True,False,True,True,False,SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA
163,13,2,15.384615384615385,4,9,0.3076923076923077,0.6923076923076923,4,11,2,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,TEKNIK ARSITEKTUR
164,17,1,5.88235294117647,8,9,0.47058823529411764,0.5294117647058824,6,10,4,4,True,False,False,True,False,HUMANIORA,BAHASA DAN SASTRA ARAB
165,7,1,14.285714285714285,3,4,0.42857142857142855,0.5714285714285714,4,6,1,2,True,False,True,True,False,SAINS DAN TEKNOLOGI,TEKNIK ARSITEKTUR
166,13,1,7.6923076923076925,5,8,0.38461538461538464,0.6153846153846154,4,7,3,3,True,True,True,True,True,EKONOMI,BAHASA DAN SASTRA ARAB
167,20,3,15.0,9,11,0.45,0.55,5,12,4,4,True,False,True,True,False,SYARI'AH,AL-AHWAL AL-SYAKHSHIYYAH
168,9,1,11.11111111111111,4,5,0.4444444444444444,0.5555555555555556,4,6,2,3,True,False,True,True,False,EKONOMI,AKUNTANSI
169,13,1,7.6923076923076925,7,6,0.5384615384615384,0.46153846153846156,5,8,4,3,True,True,False,True,False,SYARI'AH,MANAJEMEN
170,9,1,11.11111111111111,5,4,0.5555555555555556,0.4444444444444444,5,8,1,2,True,False,False,True,False,SYARI'AH,BAHASA DAN SASTRA INGGRIS
171,13,1,7.6923076923076925,5,8,0.38461538461538464,0.6153846153846154,5,9,3,3,True,True,True,True,True,SYARI'AH,TEKNIK ARSITEKTUR
172,8,2,25.0,3,5,0.375,0.625,3,5,2,3,True,False,True,True,False,EKONOMI,PERBANKAN SYARI`AH
173,9,1,11.11111111111111,3,6,0.3333333333333333,0.6666666666666666,4,7,2,2,True,False,True,True,False,SAINS DAN TEKNOLOGI,AL-AHWAL AL-SYAKHSHIYYAH
174,13,1,7.6923076923076925,5,8,0.38461538461538464,0.6153846153846154,5,10,3,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA
175,12,1,8.333333333333332,3,9,0.25,0.75,3,8,3,3,True,True,True,True,True,SAINS DAN TEKNOLOGI,BAHASA DAN SASTRA INGGRIS
176,12,1,8.333333333333332,6,6,0.5,0.5,5,10,2,2,True,True,False,True,False,SYARI'AH,ILMU AL-QUR`AN DAN TAFSIR
177,12,1,8.333333333333332,3,9,0.25,0.75,5,8,3,3,True,True,True,True,True,SYARI'AH,BAHASA DAN SASTRA ARAB
178,13,2,15.384615384615385,7,6,0.5384615384615384,0.46153846153846156,5,8,5,2,True,True,False,True,False,SYARI'AH,ILMU AL-QUR`AN DAN TAFSIR
